bresjoID,areal_km2,Shape_STAr,Shape_STLe,centroid_lon,centroid_lat,GLOF,glof_years
407,0.02142843,21428.4313965,799.616171493,13.828488000848000,65.22884045392160,FALSE,
1,0.73326245,733262.450623,4096.74904718,8.12053268363658,62.11860894907170,FALSE,
2,0.00072582,725.817687988,139.880817601,7.337148867189870,62.093989489975400,FALSE,
3,0.03246997,32469.9663696,1146.30633792,8.088128795825910,62.08309448737020,FALSE,
4,0.00918153,9181.53118896,396.548238822,7.169862517768570,62.06136599028530,FALSE,
5,0.00151748,1517.48162842,177.476416764,8.079446579059560,62.05556760679790,FALSE,
6,0.08971925,89719.2513428,1455.68380938,8.087591006322180,62.0347069158676,FALSE,
7,0.0336389,33638.895752,1102.10704972,7.212131679126300,61.96382370632810,FALSE,
8,0.0028236,2823.59588623,214.755376688,7.495380614466880,61.95241290774160,FALSE,
9,0.03538819,35388.1855469,1095.40127732,7.372446169122050,61.930114504092000,FALSE,
10,0.0188144,18814.3973389,889.936690095,7.312563603145330,61.91265518541270,FALSE,
11,0.01569029,15690.2914429,523.525792381,7.248481196593390,61.85625201821520,FALSE,
12,0.00128316,1283.15515137,159.140015505,8.061102949910150,61.81028803489680,FALSE,
13,0.00234606,2346.05743408,234.934065872,7.7651073121245200,61.7541138337482,FALSE,
14,0.02015954,20159.536377,571.296962354,7.792487966714840,61.75305516283720,FALSE,
15,0.00866781,8667.80963135,564.357481571,7.648626566431390,61.73443806357050,FALSE,
16,0.33272799,332727.99353,5328.03336239,7.839797347958330,61.72539342909100,FALSE,
17,0.00292752,2927.51593018,304.822675563,8.000104033566610,61.70922634492810,FALSE,
18,0.00919493,9194.92877197,424.374325074,7.497476988752370,61.857911340049800,FALSE,
19,1.06318219,1063182.19366,10273.2382812,7.912221697183750,61.63952037821140,FALSE,
20,0.00240957,2409.56646729,220.376189688,7.877029349266800,61.61946600020230,FALSE,
21,0.00342948,3429.47662354,301.666076192,7.707963706643810,61.6057155334113,FALSE,
22,0.02710188,27101.8758545,942.492634725,7.1800011850242800,61.598803632432700,FALSE,
