id,name,latitude,longitude,country,rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,surge_type,term_type,glac_name,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m,glacier_name,distance_to_glacier_m,distance_to_glacier_km,closest_glacier,closest_glacier_lat,closest_glacier_lon
SN83600,E6 ULVSVÅGSKARET,68.1083,15.8873,Norge,RGI2000-v7.0-G-08-01751,08,08-01,G016121E67894N,354385,611,2001-08-20,16.12222611083233,67.8940835,33,0.107132603530031,0,0,0,9,Goasstejiegna,1,16.133086235241187,67.8928593602164,814.41595,983.7931,898.66693,894.9514,26.720528,35.753105,2,COPDEM30,581,Goasstejiegna,25823.991807896196,25.823991807896196,Goasstejiegna,67.8940835,16.12222611083233
SN48170,E39 MEHAMMAR,59.91267,5.488,Norge,RGI2000-v7.0-G-08-03011,08,08-02,G006220E59980N,352190,611,2002-09-13,6.215431205725666,59.9790035,32,0.966339023224054,0,0,0,9,,1,6.202849632661536,59.973724076277016,1125.7327,1343.857,1269.0859,1265.8068,8.276181,275.7340316772461,7,COPDEM30,2056,RGI2000-v7.0-G-08-03011,41438.32331665001,41.438323316650006,RGI2000-v7.0-G-08-03011,59.9790035,6.215431205725666
SN96250,FV888 STORE REINOKSEVATN,70.72783,27.497,Norge,RGI2000-v7.0-G-08-01831,08,08-01,G023307E70420N,355282,611,2006-08-28,23.306734705128207,70.420024,34,0.377001904399434,0,0,0,9,,1,23.31241182059583,70.42547238561464,618.51733,765.90924,721.0229,707.2041,12.159347,50.352333,2,COPDEM30,1494,RGI2000-v7.0-G-08-01831,159539.94637014688,159.53994637014688,RGI2000-v7.0-G-08-01831,70.420024,23.306734705128207
SN99857,LONGYEARDALEN - CENTRAL,78.2127,15.6107,Svalbard og Jan Mayen,RGI2000-v7.0-G-07-00612,07,07-01,G015453E78188N,104166,563,2003-07-12,15.454728348154937,78.190064,33,1.079151734735834,0,0,0,9,Platabreen,1,15.471646398221768,78.19839249436748,551.6249,1008.24585,737.4409,742.36835,15.532566,42.34612,2,COPDEM30,2082,Platabreen,4365.425897351029,4.365425897351028,Platabreen,78.190064,15.454728348154937
SN19810,RØYKEN - SKOGSBORG,59.6919,10.5198,Norge,RGI2000-v7.0-G-08-03130,08,08-03,G008038E60563N,353310,611,2003-08-09,8.037972559479552,60.5624185,32,0.078350802950167,0,0,0,9,,1,8.040392942147328,60.56382039579256,1661.2982,1743.1566,1694.3219,1697.331,12.820272,88.32107,3,COPDEM30,594,RGI2000-v7.0-G-08-03130,168761.01786786123,168.76101786786123,RGI2000-v7.0-G-08-03130,60.5624185,8.037972559479552
SN67890,FV30 RUGLDALEN,62.74033,11.3245,Norge,RGI2000-v7.0-G-08-03409,08,08-03,G012218E63005N,1012457,812,2002-08-23,12.218209158660844,63.005493,33,0.072925719656763,0,0,0,9,,0,12.21849077634446,63.00715440006898,1256.3105,1450.2937,1327.3748,1336.4174,29.878586,349.9699296951294,1,COPDEM30,342,RGI2000-v7.0-G-08-03409,54238.11734734773,54.23811734734773,RGI2000-v7.0-G-08-03409,63.005493,12.218209158660844
SN96600,GAMVIK - SKJÅNES,70.8,28.0995,Norge,RGI2000-v7.0-G-08-01831,08,08-01,G023307E70420N,355282,611,2006-08-28,23.306734705128207,70.420024,34,0.377001904399434,0,0,0,9,,1,23.31241182059583,70.42547238561464,618.51733,765.90924,721.0229,707.2041,12.159347,50.352333,2,COPDEM30,1494,RGI2000-v7.0-G-08-01831,182872.94546224983,182.87294546224982,RGI2000-v7.0-G-08-01831,70.420024,23.306734705128207
SN25830,FINSEVATN,60.5938,7.527,Norge,RGI2000-v7.0-G-08-03100,08,08-03,G007529E60633N,353037,611,2003-08-09,7.529384410920144,60.633357,32,0.158495424143948,0,0,0,9,,1,7.531617368298468,60.632497738037245,1502.5251,1551.2688,1523.3788,1522.8159,8.299629,94.06669,3,COPDEM30,617,RGI2000-v7.0-G-08-03100,4416.730961351634,4.416730961351633,RGI2000-v7.0-G-08-03100,60.633357,7.529384410920144
SN47192,SKUDENES INDUSTRI,59.1467,5.2602,Norge,RGI2000-v7.0-G-08-03047,08,08-02,G006856E59527N,352487,611,2003-08-09,6.856760490326986,59.526589,32,0.050550452403332,0,0,0,9,,1,6.855947098715404,59.527840948860856,1339.1227,1444.9357,1389.3593,1388.442,24.834578,7.7144423,1,COPDEM30,324,RGI2000-v7.0-G-08-03047,100511.81760842365,100.51181760842364,RGI2000-v7.0-G-08-03047,59.526589,6.856760490326986
SN33555,E134 VINJE,59.62033,7.83317,Norge,RGI2000-v7.0-G-08-03090,08,08-03,G007142E59754N,352762,611,2003-08-09,7.142340720834902,59.7540665,32,0.064825985754356,0,0,0,9,,1,7.143595685033784,59.755503916776455,1400.4125,1551.1473,1457.2755,1459.0273,23.19011,51.510685,2,COPDEM30,413,RGI2000-v7.0-G-08-03090,41740.75360944665,41.74075360944665,RGI2000-v7.0-G-08-03090,59.7540665,7.142340720834902
SN79700,STORFORSHEI,66.3962,14.53,Norge,RGI2000-v7.0-G-08-00165,08,08-01,G014627E66447N,354218,611,1999-09-07,14.628179005864462,66.446554,33,0.158753097071126,0,0,0,9,,1,14.633216210800953,66.44715766572895,1070.8868,1304.5931,1165.02,1172.9948,26.421907,60.13282,2,COPDEM30,534,RGI2000-v7.0-G-08-00165,7121.112852353151,7.121112852353151,RGI2000-v7.0-G-08-00165,66.446554,14.628179005864462
SN25115,HEMSEDAL SKISENTER,60.8397,8.4968,Norge,RGI2000-v7.0-G-08-03130,08,08-03,G008038E60563N,353310,611,2003-08-09,8.037972559479552,60.5624185,32,0.078350802950167,0,0,0,9,,1,8.040392942147328,60.56382039579256,1661.2982,1743.1566,1694.3219,1697.331,12.820272,88.32107,3,COPDEM30,594,RGI2000-v7.0-G-08-03130,39830.360764805875,39.830360764805874,RGI2000-v7.0-G-08-03130,60.5624185,8.037972559479552
SN68270,LØKSMYR,63.2315,10.4369,Norge,RGI2000-v7.0-G-08-02797,08,08-02,G009362E62897N,353709,611,2003-08-09,9.36228391927781,62.897223,32,0.041432156192091,0,0,0,9,Dukfonna,1,9.364352114973476,62.89741549189002,1223.6891,1324.2269,1271.2538,1272.5911,28.933697,66.51485,2,COPDEM30,220,Dukfonna,65908.14015499475,65.90814015499475,Dukfonna,62.897223,9.36228391927781
SN4785,GARDERMOEN PLU,60.2105,11.0782,Norge,RGI2000-v7.0-G-08-03130,08,08-03,G008038E60563N,353310,611,2003-08-09,8.037972559479552,60.5624185,32,0.078350802950167,0,0,0,9,,1,8.040392942147328,60.56382039579256,1661.2982,1743.1566,1694.3219,1697.331,12.820272,88.32107,3,COPDEM30,594,RGI2000-v7.0-G-08-03130,172293.84427927798,172.29384427927798,RGI2000-v7.0-G-08-03130,60.5624185,8.037972559479552
SN63820,DRIVDALEN,62.4474975,9.5817569,Norge,RGI2000-v7.0-G-08-02651,08,08-02,G009399E62373N,353711,611,2003-08-09,9.399141167281972,62.372712,32,0.044138089756651,0,0,0,9,,1,9.400899444071108,62.37413396682744,1607.4336,1747.4691,1673.0831,1674.0228,27.42862,25.529612,2,COPDEM30,309,RGI2000-v7.0-G-08-02651,12600.437909926175,12.600437909926175,RGI2000-v7.0-G-08-02651,62.372712,9.399141167281972
SN92350,NORDSTRAUM I KVÆNANGEN,69.8362,21.8958,Norge,RGI2000-v7.0-G-08-01481,08,08-01,G021578E69788N,355223,611,2006-08-28,21.579530463636367,69.7878365,34,0.081543895541252,0,0,0,9,,1,21.58372366956554,69.78852560851983,737.1313,916.48944,809.1773,809.36993,27.231033,62.29139,2,COPDEM30,416,RGI2000-v7.0-G-08-01481,13332.555873357822,13.332555873357823,RGI2000-v7.0-G-08-01481,69.7878365,21.579530463636367
SN253610,BORÅS,57.7611,12.9493,Sverige,RGI2000-v7.0-G-08-03090,08,08-03,G007142E59754N,352762,611,2003-08-09,7.142340720834902,59.7540665,32,0.064825985754356,0,0,0,9,,1,7.143595685033784,59.755503916776455,1400.4125,1551.1473,1457.2755,1459.0273,23.19011,51.510685,2,COPDEM30,413,RGI2000-v7.0-G-08-03090,402852.1930014569,402.8521930014569,RGI2000-v7.0-G-08-03090,59.7540665,7.142340720834902
SN18180,OSLO - TRASOP,59.907,10.847,Norge,RGI2000-v7.0-G-08-03130,08,08-03,G008038E60563N,353310,611,2003-08-09,8.037972559479552,60.5624185,32,0.078350802950167,0,0,0,9,,1,8.040392942147328,60.56382039579256,1661.2982,1743.1566,1694.3219,1697.331,12.820272,88.32107,3,COPDEM30,594,RGI2000-v7.0-G-08-03130,172027.35771542502,172.027357715425,RGI2000-v7.0-G-08-03130,60.5624185,8.037972559479552
SN218180,TALLJÄRV D,66.2512,22.309,Sverige,RGI2000-v7.0-G-08-00802,08,08-01,G018075E67279N,1012629,812,2002-08-09,18.0764261770244,67.279586,34,0.485697072188624,0,0,0,9,,0,18.081529904881076,67.28292923959197,1201.498,1646.9004,1341.9575,1360.8721,28.19666,64.08184,2,COPDEM30,822,RGI2000-v7.0-G-08-00802,218851.92525955674,218.85192525955674,RGI2000-v7.0-G-08-00802,67.279586,18.0764261770244
SN39201,KRISTIANSAND - BRÅVANN,58.1095,7.9383,Norge,RGI2000-v7.0-G-08-03047,08,08-02,G006856E59527N,352487,611,2003-08-09,6.856760490326986,59.526589,32,0.050550452403332,0,0,0,9,,1,6.855947098715404,59.527840948860856,1339.1227,1444.9357,1389.3593,1388.442,24.834578,7.7144423,1,COPDEM30,324,RGI2000-v7.0-G-08-03047,170097.0439107338,170.09704391073382,RGI2000-v7.0-G-08-03047,59.526589,6.856760490326986
SN31853,E134 GVAMMEN,59.5993,8.7152,Norge,RGI2000-v7.0-G-08-03090,08,08-03,G007142E59754N,352762,611,2003-08-09,7.142340720834902,59.7540665,32,0.064825985754356,0,0,0,9,,1,7.143595685033784,59.755503916776455,1400.4125,1551.1473,1457.2755,1459.0273,23.19011,51.510685,2,COPDEM30,413,RGI2000-v7.0-G-08-03090,90419.49768237797,90.41949768237797,RGI2000-v7.0-G-08-03090,59.7540665,7.142340720834902
SN27403,NØTTERØY - KNARRBERG,59.2084,10.45442,Norge,RGI2000-v7.0-G-08-03090,08,08-03,G007142E59754N,352762,611,2003-08-09,7.142340720834902,59.7540665,32,0.064825985754356,0,0,0,9,,1,7.143595685033784,59.755503916776455,1400.4125,1551.1473,1457.2755,1459.0273,23.19011,51.510685,2,COPDEM30,413,RGI2000-v7.0-G-08-03090,197497.24644817534,197.49724644817533,RGI2000-v7.0-G-08-03090,59.7540665,7.142340720834902
